Date,Open,High,Low,Close
01-09-2003,"1,505.79","1,536.01","1,505.08","1,528.39"
02-09-2003,"1,531.19","1,560.11","1,518.72","1,554.43"
03-09-2003,"1,577.99","1,590.18","1,517.18","1,527.53"
04-09-2003,"1,534.02","1,646.75","1,534.02","1,635.83"
05-09-2003,"1,643.62","1,677.81","1,637.12","1,671.26"
09-09-2003,"1,707.44","1,761.71","1,707.44","1,731.37"
10-09-2003,"1,731.58","1,734.51","1,669.06","1,699.88"
11-09-2003,"1,684.20","1,691.10","1,655.28","1,663.85"
12-09-2003,"1,676.78","1,696.83","1,614.02","1,626.46"
15-09-2003,"1,618.90","1,623.63","1,531.73","1,541.28"
16-09-2003,"1,534.26","1,632.38","1,526.12","1,624.08"
17-09-2003,"1,661.43","1,684.73","1,627.23","1,641.40"
18-09-2003,"1,642.67","1,643.29","1,578.94","1,586.80"
19-09-2003,"1,603.25","1,629.65","1,567.92","1,614.49"
22-09-2003,"1,624.82","1,636.78","1,604.32","1,610.00"
23-09-2003,"1,603.96","1,619.71","1,577.55","1,613.83"
24-09-2003,"1,620.61","1,683.84","1,620.02","1,679.13"
25-09-2003,"1,668.92","1,680.48","1,646.41","1,666.42"
26-09-2003,"1,663.51","1,723.97","1,660.40","1,719.85"
29-09-2003,"1,717.73","1,738.04","1,704.30","1,710.71"
30-09-2003,"1,720.47","1,739.21","1,714.33","1,731.56"
01-10-2003,"1,718.66","1,757.02","1,709.28","1,735.74"
03-10-2003,"1,738.42","1,762.96","1,714.24","1,719.59"
06-10-2003,"1,630.20","1,752.29","1,630.20","1,739.35"
07-10-2003,"1,740.62","1,761.45","1,713.52","1,720.01"
08-10-2003,"1,722.31","1,733.75","1,669.36","1,695.75"
09-10-2003,"1,704.28","1,738.88","1,703.72","1,723.65"
10-10-2003,"1,752.18","1,831.98","1,744.68","1,823.10"
13-10-2003,"1,835.40","1,883.74","1,835.40","1,864.69"
14-10-2003,"1,877.89","1,890.20","1,828.64","1,837.83"
15-10-2003,"1,834.65","1,855.19","1,800.15","1,842.59"
16-10-2003,"1,848.93","1,867.40","1,826.54","1,840.58"
17-10-2003,"1,862.99","1,896.94","1,849.46","1,892.68"
20-10-2003,"1,892.91","1,895.27","1,832.66","1,843.69"
21-10-2003,"1,865.83","1,865.83","1,775.98","1,786.39"
22-10-2003,"1,787.28","1,802.78","1,730.52","1,743.42"
23-10-2003,"1,747.14","1,755.41","1,700.61","1,706.98"
24-10-2003,"1,709.89","1,785.48","1,708.67","1,777.59"
27-10-2003,"1,785.35","1,785.35","1,719.43","1,723.50"
28-10-2003,"1,734.80","1,758.81","1,721.29","1,738.21"
29-10-2003,"1,743.19","1,769.73","1,741.20","1,761.77"
30-10-2003,"1,768.65","1,786.13","1,758.93","1,767.29"
31-10-2003,"1,758.92","1,860.27","1,758.43","1,855.06"
03-11-2003,"1,856.64","1,961.51","1,856.64","1,949.79"
04-11-2003,"1,979.62","2,021.35","1,972.72","1,987.03"
05-11-2003,"1,989.85","1,991.68","1,947.14","1,977.00"
06-11-2003,"1,976.93","2,035.81","1,976.93","2,015.38"
07-11-2003,"2,014.71","2,041.37","1,960.60","1,974.30"
10-11-2003,"1,976.07","1,976.07","1,918.29","1,963.91"
11-11-2003,"1,963.82","1,984.04","1,939.44","1,963.97"
12-11-2003,"1,965.37","2,002.59","1,957.63","1,981.43"
13-11-2003,"1,989.93","2,013.82","1,912.32","1,931.02"
14-11-2003,"1,929.92","1,941.07","1,888.25","1,897.03"
17-11-2003,"1,913.27","1,933.86","1,889.61","1,922.56"
18-11-2003,"1,921.84","1,949.93","1,891.73","1,904.13"
19-11-2003,"1,892.46","1,933.56","1,879.12","1,914.93"
20-11-2003,"1,935.68","1,950.56","1,891.41","1,899.10"
21-11-2003,"1,896.84","1,946.57","1,892.41","1,935.65"
